company,line,station,norm_company,norm_line,norm_station
JR,ＪＲ札沼線,札幌,jr,札沼線,札幌
JR,ＪＲ留萌本線,深川,jr,留萌本線,深川
JR,ＪＲ留萌本線,北一已,jr,留萌本線,北一已
JR,ＪＲ留萌本線,秩父別,jr,留萌本線,秩父別
JR,ＪＲ留萌本線,北秩父別,jr,留萌本線,北秩父別
JR,ＪＲ留萌本線,石狩沼田,jr,留萌本線,石狩沼田
JR,ＪＲ室蘭本線,長万部,jr,室蘭本線,長万部
JR,ＪＲ室蘭本線,豊浦,jr,室蘭本線,豊浦
JR,ＪＲ室蘭本線,洞爺,jr,室蘭本線,洞爺
JR,ＪＲ室蘭本線,有珠,jr,室蘭本線,有珠
JR,ＪＲ室蘭本線,長和,jr,室蘭本線,長和
JR,ＪＲ室蘭本線,伊達紋別,jr,室蘭本線,伊達紋別
JR,ＪＲ室蘭本線,北舟岡,jr,室蘭本線,北舟岡
JR,ＪＲ室蘭本線,稀府,jr,室蘭本線,稀府
JR,ＪＲ室蘭本線,黄金,jr,室蘭本線,黄金
JR,ＪＲ室蘭本線,崎守,jr,室蘭本線,崎守
JR,ＪＲ室蘭本線,本輪西,jr,室蘭本線,本輪西
JR,ＪＲ室蘭本線,室蘭,jr,室蘭本線,室蘭
JR,ＪＲ室蘭本線,母恋,jr,室蘭本線,母恋
JR,ＪＲ室蘭本線,御崎,jr,室蘭本線,御崎
JR,ＪＲ室蘭本線,輪西,jr,室蘭本線,輪西
JR,ＪＲ室蘭本線,東室蘭,jr,室蘭本線,東室蘭
JR,ＪＲ室蘭本線,鷲別,jr,室蘭本線,鷲別
JR,ＪＲ室蘭本線,幌別,jr,室蘭本線,幌別
JR,ＪＲ室蘭本線,富浦,jr,室蘭本線,富浦
JR,ＪＲ室蘭本線,登別,jr,室蘭本線,登別
JR,ＪＲ室蘭本線,虎杖浜,jr,室蘭本線,虎杖浜
JR,ＪＲ室蘭本線,竹浦,jr,室蘭本線,竹浦
JR,ＪＲ室蘭本線,北吉原,jr,室蘭本線,北吉原
JR,ＪＲ室蘭本線,萩野,jr,室蘭本線,萩野
JR,ＪＲ室蘭本線,白老,jr,室蘭本線,白老
JR,ＪＲ室蘭本線,社台,jr,室蘭本線,社台
JR,ＪＲ室蘭本線,錦岡,jr,室蘭本線,錦岡
JR,ＪＲ室蘭本線,糸井,jr,室蘭本線,糸井
JR,ＪＲ室蘭本線,青葉,jr,室蘭本線,青葉
JR,ＪＲ室蘭本線,苫小牧,jr,室蘭本線,苫小牧
JR,ＪＲ室蘭本線,沼ノ端,jr,室蘭本線,沼ノ端
JR,ＪＲ室蘭本線,遠浅,jr,室蘭本線,遠浅
JR,ＪＲ室蘭本線,早来,jr,室蘭本線,早来
JR,ＪＲ室蘭本線,安平,jr,室蘭本線,安平
JR,ＪＲ室蘭本線,追分,jr,室蘭本線,追分
JR,ＪＲ室蘭本線,三川,jr,室蘭本線,三川
JR,ＪＲ室蘭本線,古山,jr,室蘭本線,古山
JR,ＪＲ室蘭本線,由仁,jr,室蘭本線,由仁
JR,ＪＲ室蘭本線,栗山,jr,室蘭本線,栗山
JR,ＪＲ室蘭本線,栗丘,jr,室蘭本線,栗丘
JR,ＪＲ室蘭本線,栗沢,jr,室蘭本線,栗沢
JR,ＪＲ室蘭本線,志文,jr,室蘭本線,志文
JR,ＪＲ室蘭本線,岩見沢,jr,室蘭本線,岩見沢
JR,ＪＲ宗谷本線,旭川,jr,宗谷本線,旭川
JR,ＪＲ宗谷本線,旭川四条,jr,宗谷本線,旭川四条
JR,ＪＲ宗谷本線,新旭川,jr,宗谷本線,新旭川
JR,ＪＲ宗谷本線,永山,jr,宗谷本線,永山
JR,ＪＲ宗谷本線,北永山,jr,宗谷本線,北永山
JR,ＪＲ宗谷本線,比布,jr,宗谷本線,比布
JR,ＪＲ宗谷本線,蘭留,jr,宗谷本線,蘭留
JR,ＪＲ宗谷本線,和寒,jr,宗谷本線,和寒
JR,ＪＲ宗谷本線,剣淵,jr,宗谷本線,剣淵
JR,ＪＲ宗谷本線,士別,jr,宗谷本線,士別
JR,ＪＲ宗谷本線,多寄,jr,宗谷本線,多寄
JR,ＪＲ宗谷本線,瑞穂,jr,宗谷本線,瑞穂
JR,ＪＲ宗谷本線,風連,jr,宗谷本線,風連
JR,ＪＲ宗谷本線,名寄高校,jr,宗谷本線,名寄高校
JR,ＪＲ宗谷本線,日進,jr,宗谷本線,日進
JR,ＪＲ宗谷本線,美深,jr,宗谷本線,美深
JR,ＪＲ宗谷本線,音威子府,jr,宗谷本線,音威子府
JR,ＪＲ宗谷本線,南稚内,jr,宗谷本線,南稚内
JR,ＪＲ宗谷本線,稚内,jr,宗谷本線,稚内
JR,ＪＲ千歳線,札幌,jr,千歳線,札幌
JR,ＪＲ千歳線,苗穂,jr,千歳線,苗穂
JR,ＪＲ千歳線,苫小牧,jr,千歳線,苫小牧
JR,ＪＲ根室本線,滝川,jr,根室本線,滝川
JR,ＪＲ根室本線,赤平,jr,根室本線,赤平
JR,ＪＲ根室本線,茂尻,jr,根室本線,茂尻
JR,ＪＲ根室本線,平岸,jr,根室本線,平岸
JR,ＪＲ根室本線,芦別,jr,根室本線,芦別
JR,ＪＲ根室本線,上芦別,jr,根室本線,上芦別
JR,ＪＲ根室本線,富良野,jr,根室本線,富良野
JR,ＪＲ根室本線,新得,jr,根室本線,新得
JR,ＪＲ根室本線,十勝清水,jr,根室本線,十勝清水
JR,ＪＲ根室本線,御影,jr,根室本線,御影
JR,ＪＲ根室本線,芽室,jr,根室本線,芽室
JR,ＪＲ根室本線,大成,jr,根室本線,大成
JR,ＪＲ根室本線,西帯広,jr,根室本線,西帯広
JR,ＪＲ根室本線,柏林台,jr,根室本線,柏林台
JR,ＪＲ根室本線,帯広,jr,根室本線,帯広
JR,ＪＲ根室本線,札内,jr,根室本線,札内
JR,ＪＲ根室本線,幕別,jr,根室本線,幕別
JR,ＪＲ根室本線,利別,jr,根室本線,利別
JR,ＪＲ根室本線,池田,jr,根室本線,池田
JR,ＪＲ根室本線,十弗,jr,根室本線,十弗
JR,ＪＲ根室本線,豊頃,jr,根室本線,豊頃
JR,ＪＲ根室本線,新吉野,jr,根室本線,新吉野
JR,ＪＲ根室本線,浦幌,jr,根室本線,浦幌
JR,ＪＲ根室本線,厚内,jr,根室本線,厚内
JR,ＪＲ根室本線,音別,jr,根室本線,音別
JR,ＪＲ根室本線,白糠,jr,根室本線,白糠
JR,ＪＲ根室本線,西庶路,jr,根室本線,西庶路
JR,ＪＲ根室本線,庶路,jr,根室本線,庶路
JR,ＪＲ根室本線,大楽毛,jr,根室本線,大楽毛
JR,ＪＲ根室本線,新大楽毛,jr,根室本線,新大楽毛
JR,ＪＲ根室本線,新富士,jr,根室本線,新富士
JR,ＪＲ根室本線,釧路,jr,根室本線,釧路
JR,ＪＲ根室本線,東釧路,jr,根室本線,東釧路
JR,ＪＲ根室本線,武佐,jr,根室本線,武佐
JR,ＪＲ根室本線,別保,jr,根室本線,別保
JR,ＪＲ根室本線,門静,jr,根室本線,門静
JR,ＪＲ根室本線,厚岸,jr,根室本線,厚岸
JR,ＪＲ根室本線,厚床,jr,根室本線,厚床
JR,ＪＲ根室本線,根室,jr,根室本線,根室
JR,ＪＲ函館本線,函館,jr,函館本線,函館
JR,ＪＲ函館本線,五稜郭,jr,函館本線,五稜郭
JR,ＪＲ函館本線,桔梗,jr,函館本線,桔梗
JR,ＪＲ函館本線,大中山,jr,函館本線,大中山
JR,ＪＲ函館本線,七飯,jr,函館本線,七飯
JR,ＪＲ函館本線,新函館北斗,jr,函館本線,新函館北斗
